iter	Logloss
0	0.5913981075
1	0.5209294145
2	0.4653803066
3	0.4228866628
4	0.3794728696
5	0.3523608673
6	0.3292892301
7	0.3104951732
8	0.294524635
9	0.2795221951
10	0.2670386944
11	0.257750875
12	0.2514226889
13	0.2433121082
14	0.2377599428
15	0.2314664426
16	0.2246527734
17	0.2211415363
18	0.2172240896
19	0.2126834449
20	0.2075871699
21	0.2035315017
22	0.1993324814
23	0.1963110527
24	0.1942135597
25	0.1910621096
26	0.1877891618
27	0.1858315286
28	0.1834915876
29	0.1816554779
30	0.1797727877
31	0.1778699409
32	0.1765005981
33	0.1746234179
34	0.1732722991
35	0.1715880782
36	0.1698051922
37	0.1681487352
38	0.1668143466
39	0.1652076162
40	0.1640003548
41	0.1631925998
42	0.1624078752
43	0.1614183369
44	0.1602470421
45	0.1588133025
46	0.1573964525
47	0.1565795955
48	0.1559424094
49	0.1547927357
50	0.1537207029
51	0.1530056613
52	0.1523073048
53	0.1509881815
54	0.1501708595
55	0.1493929127
56	0.1488373913
57	0.1477196782
58	0.1470394942
59	0.1462574873
60	0.1458734423
61	0.1449204384
62	0.1442915589
63	0.1436716888
64	0.1426516581
65	0.1419190785
66	0.1410871689
67	0.1405149245
68	0.1397688476
69	0.1388613055
70	0.1381904557
71	0.1375734942
72	0.1368830397
73	0.1363428757
74	0.1357157782
75	0.1353414804
76	0.1347450129
77	0.133921031
78	0.1332358831
79	0.1327933682
80	0.1322752946
81	0.1318812251
82	0.1311250591
83	0.1305909414
84	0.1302574977
85	0.1298622285
86	0.1294792911
87	0.1290068122
88	0.128442675
89	0.1279601904
90	0.1273692536
91	0.127004549
92	0.1266271316
93	0.1263700016
94	0.1260469376
95	0.1258245313
96	0.125178495
97	0.1249084335
98	0.1246093931
99	0.1243241303
100	0.123934497
101	0.1235826504
102	0.123214298
103	0.122660162
104	0.1222279019
105	0.1217895648
106	0.1215318836
107	0.1212176216
108	0.1205022431
109	0.1202474577
110	0.1200509657
111	0.1197145265
112	0.1192483639
113	0.1190916796
114	0.1187873881
115	0.1184872327
116	0.1181705314
117	0.1179273862
118	0.1177079923
119	0.1174491988
120	0.1172709413
121	0.1169540006
122	0.1163806808
123	0.1159777317
124	0.1157007967
125	0.1155301212
126	0.1153231421
127	0.1151149914
128	0.1149012323
129	0.1146327104
130	0.1144027757
131	0.114068298
132	0.1139343399
133	0.1136647016
134	0.1133988797
135	0.1129895021
136	0.1127516402
137	0.1124033326
138	0.112158692
139	0.1119032733
140	0.1114708936
141	0.1112354313
142	0.1109976453
143	0.1108491451
144	0.1105020076
145	0.1103489514
146	0.1102297096
147	0.1100565556
148	0.1099438277
149	0.1095894773
150	0.109318376
151	0.1088796561
152	0.1085407668
153	0.1083043983
154	0.1082174499
155	0.1079597985
156	0.1077477447
157	0.1073826323
158	0.1073027324
159	0.1070785676
160	0.1069571736
161	0.1066836335
162	0.1064121514
163	0.1062386715
164	0.106170362
165	0.1060933248
166	0.1058675816
167	0.105778321
168	0.1055623734
169	0.1054988915
170	0.1053077118
171	0.1049994275
172	0.1046231623
173	0.1043102775
174	0.1040672666
175	0.1038897581
176	0.1036763346
177	0.1035542343
178	0.1033336932
179	0.1030497919
180	0.102862047
181	0.1026682858
182	0.1025375891
183	0.1024731852
184	0.1023131851
185	0.1022367919
186	0.1020009994
187	0.1018264866
188	0.1016670541
189	0.101593519
190	0.101365117
191	0.1011230204
192	0.1010572404
193	0.1008103161
194	0.1006358512
195	0.1005007822
196	0.1003500638
197	0.1001201465
198	0.09991962415
199	0.09973945759
200	0.09955572764
201	0.09939159378
202	0.09924029506
203	0.09903983271
204	0.09883761133
205	0.09872047789
206	0.09859588402
207	0.0984894329
208	0.09838618108
209	0.09812005292
210	0.09789307075
211	0.09771743308
212	0.09750598682
213	0.09743541505
214	0.09737660669
215	0.09720117855
216	0.09705075522
217	0.09693055497
218	0.09678669167
219	0.09667336536
220	0.09658759937
221	0.09637917226
222	0.09627893987
223	0.09618314796
224	0.09609585951
225	0.09603009844
226	0.09586939573
227	0.09574606535
228	0.09560564511
229	0.09553634024
230	0.09534938401
231	0.09518625108
232	0.09505460785
233	0.09494930878
234	0.0947738825
235	0.09468565542
236	0.09460129921
237	0.09445951618
238	0.09432000927
239	0.09423630057
240	0.09405758002
241	0.09394934639
242	0.09390021166
243	0.09374078113
244	0.09360354106
245	0.09344223371
246	0.09328531278
247	0.09325030552
248	0.09317381008
249	0.09313970216
250	0.09299997763
251	0.0929288182
252	0.09275823043
253	0.09270145649
254	0.09260031053
255	0.09245966992
256	0.09241307977
257	0.09237085366
258	0.09225568465
259	0.09212911757
260	0.09196891665
261	0.09188900954
262	0.09174940379
263	0.09160505866
264	0.09151184216
265	0.09147475945
266	0.09132043248
267	0.09120407171
268	0.0911523726
269	0.09105871001
270	0.0910202253
271	0.09090347062
272	0.09078792743
273	0.09059229773
274	0.09055556836
275	0.09043491593
276	0.09025688452
277	0.09013219163
278	0.09007690634
279	0.08998430421
280	0.08994056142
281	0.0898920706
282	0.08975386717
283	0.08962486992
284	0.08948588431
285	0.08939898257
286	0.0891451099
287	0.08912263974
288	0.08896274601
289	0.08887429669
290	0.08878203553
291	0.08871791468
292	0.08857745201
293	0.08848633103
294	0.08841125164
295	0.08832716374
296	0.08824331264
297	0.08815123131
298	0.08803601039
299	0.08795957195
