iter	Passed	Remaining
414	3581	733
415	3589	724
416	3597	716
417	3605	707
418	3613	698
419	3622	689
420	3629	681
421	3638	672
422	3645	663
423	3654	655
424	3662	646
425	3671	637
426	3678	628
427	3687	620
428	3695	611
429	3704	602
430	3712	594
431	3720	585
432	3728	576
433	3737	568
434	3745	559
435	3753	551
436	3762	542
437	3771	533
438	3779	525
439	3789	516
440	3797	507
441	3805	499
442	3814	490
443	3822	482
444	3829	473
445	3837	464
446	3846	456
447	3854	447
448	3862	438
449	3870	430
450	3878	421
451	3887	412
452	3895	404
453	3903	395
454	3911	386
455	3919	378
456	3925	369
457	3931	360
458	3939	351
459	3948	343
460	3956	334
461	3964	326
462	3972	317
463	3981	308
464	3989	300
465	3998	291
466	4005	283
467	4014	274
468	4020	265
469	4028	257
470	4037	248
471	4046	240
472	4054	231
473	4062	222
474	4070	214
475	4079	205
476	4084	196
477	4093	188
478	4101	179
479	4109	171
480	4117	162
481	4126	154
482	4134	145
483	4142	136
484	4151	128
485	4161	119
486	4169	111
487	4179	102
488	4187	94
489	4196	85
490	4203	77
491	4212	68
492	4220	59
493	4228	51
494	4233	42
495	4242	34
496	4249	25
497	4258	17
498	4266	8
499	4275	0
