iter	Logloss
0	0.5730161352
1	0.4740371681
2	0.4127751559
3	0.3636710375
4	0.3231654366
5	0.2912334603
6	0.2713684129
7	0.2512634059
8	0.239848676
9	0.2265627376
10	0.2173997458
11	0.2091238642
12	0.2004930275
13	0.1924865553
14	0.1876918563
15	0.1821765916
16	0.1780079644
17	0.1720751269
18	0.1688488096
19	0.165642162
20	0.1621095394
21	0.1588997483
22	0.1564022959
23	0.1536173586
24	0.1509740882
25	0.1486899434
26	0.146609929
27	0.1450765296
28	0.1434164163
29	0.1415971817
30	0.1393071533
31	0.1384963799
32	0.1371989107
33	0.1359962608
34	0.1350629761
35	0.1336330351
36	0.1321694807
37	0.131123505
38	0.1301437446
39	0.1291374917
40	0.1279140609
41	0.1273186378
42	0.1268274761
43	0.1260042289
44	0.1258657616
45	0.1247072031
46	0.1239751248
47	0.123368366
48	0.1228564625
49	0.1222125805
50	0.121488129
51	0.1207981806
52	0.1202191943
53	0.1193712931
54	0.1187529937
55	0.1183235422
56	0.1177095259
57	0.1170011328
58	0.116411778
59	0.1159341728
60	0.1154892663
61	0.1148337358
62	0.1144737274
63	0.1139804185
64	0.1135196274
65	0.1130630239
66	0.1125965549
67	0.1120579599
68	0.1117691947
69	0.1113562507
70	0.1110393452
71	0.1107427699
72	0.1102505024
73	0.1100260404
74	0.1093595352
75	0.1090698246
76	0.1088385605
77	0.1085067484
78	0.1080639318
79	0.1076596491
80	0.1075795491
81	0.1071879612
82	0.1068365418
83	0.1067353322
84	0.1065068911
85	0.1062458729
86	0.1058279468
87	0.1053052441
88	0.1048808216
89	0.1045940088
90	0.104190776
91	0.1038388264
92	0.1035011528
93	0.1029253548
94	0.1028327114
95	0.1026661003
96	0.1024255167
97	0.102369253
98	0.1018328226
99	0.1016619445
100	0.1012937864
101	0.1009580876
102	0.1007523375
103	0.1003964071
104	0.1001834434
105	0.1000106669
106	0.09963890472
107	0.09953631631
108	0.09942025572
109	0.09935273855
110	0.09898476373
111	0.09871733269
112	0.09831756324
113	0.09822603123
114	0.09787824562
115	0.09766059624
116	0.09736995466
117	0.0972065459
118	0.09703975232
119	0.09682823135
120	0.09662783003
121	0.09648225948
122	0.09633563171
123	0.09603970501
124	0.0959171275
125	0.09570732939
126	0.09547350635
127	0.09528480949
128	0.09510991945
129	0.09487199159
130	0.09475951357
131	0.09458281679
132	0.09425631872
133	0.09393548541
134	0.09358168487
135	0.09337359029
136	0.09331575039
137	0.09331570412
138	0.09322503014
139	0.09306408109
140	0.0929459261
141	0.09285839937
142	0.0925729849
143	0.09230134717
144	0.09215169542
145	0.09210172527
146	0.09181228963
147	0.09155895232
148	0.09141172343
149	0.0911719113
150	0.09088515845
151	0.09067099462
152	0.09030838918
153	0.09008610645
154	0.08978391453
155	0.0894755998
156	0.0892382011
157	0.08892956749
158	0.08866839544
159	0.08859636732
160	0.08850868545
161	0.08849025983
162	0.08825215681
163	0.08798900545
164	0.08790981522
165	0.08768634371
166	0.08737388495
167	0.08720183809
168	0.0871260316
169	0.08703781823
170	0.08677029554
171	0.0865567022
172	0.08623851699
173	0.08618116113
174	0.08601750787
175	0.08586583751
176	0.08586548295
177	0.08575796433
178	0.08568077886
179	0.08550536527
180	0.08550525175
181	0.08530420475
182	0.0853041008
183	0.08519527033
184	0.08505366041
185	0.08479777097
186	0.0847247655
187	0.08441101532
188	0.08435048444
189	0.08432393277
190	0.08429698405
191	0.0842450054
192	0.08399629565
193	0.08380723878
194	0.08347633446
195	0.08331667204
196	0.0832567847
197	0.08315042555
198	0.08302774624
199	0.0829489335
200	0.08276277635
201	0.08270941048
202	0.08257774185
203	0.08255535409
204	0.08244949003
205	0.0822843338
206	0.08210071417
207	0.08202942929
208	0.08189910711
209	0.08169204409
210	0.08157006956
211	0.08145599181
212	0.08143963102
213	0.08125797108
214	0.08099086012
215	0.08078413696
216	0.08065771503
217	0.08063497268
218	0.08049987142
219	0.08023908356
220	0.08004792794
221	0.07989529111
222	0.07983564923
223	0.07963655018
224	0.07949469036
225	0.07938749386
226	0.07932686266
227	0.07911796748
228	0.0788898761
229	0.07884819605
230	0.07867953655
